date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:37:04	60/60	---MCZ	200	added ('OK')	text/plain	date:Tue,%2010%20Nov%202015%2021:42:46%20GMT	http://foxythemes.net/robots.txt		(from )
13:37:04	51683/51683	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Feb%202018%2023:16:19%20GMT	http://foxythemes.net/preview/products/beagle/	C:/Users/johnperry.carpio.LAZADA/Documents/Downloaded%20Sites/Boostrap%20Beagle%20Responsive%20Admin/foxythemes.net/preview/products/beagle/index.html	(from )
13:37:04	1284/1284	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Feb%202018%2023:16:41%20GMT	http://foxythemes.net/preview/products/beagle/assets/img/logo-fav.png	C:/Users/johnperry.carpio.LAZADA/Documents/Downloaded%20Sites/Boostrap%20Beagle%20Responsive%20Admin/foxythemes.net/preview/products/beagle/assets/img/logo-fav.png	(from http://foxythemes.net/preview/products/beagle/)
13:37:05	4629/4629	---MCZ	200	added ('OK')	text/css	date:Tue,%2020%20Feb%202018%2023:21:21%20GMT	http://foxythemes.net/preview/products/beagle/assets/lib/perfect-scrollbar/css/perfect-scrollbar.min.css	C:/Users/johnperry.carpio.LAZADA/Documents/Downloaded%20Sites/Boostrap%20Beagle%20Responsive%20Admin/foxythemes.net/preview/products/beagle/assets/lib/perfect-scrollbar/css/perfect-scrollbar.min.css	(from http://foxythemes.net/preview/products/beagle/)
13:37:05	68958/68958	---MCZ	200	added ('OK')	text/css	date:Tue,%2020%20Feb%202018%2023:22:32%20GMT	http://foxythemes.net/preview/products/beagle/assets/lib/material-design-icons/css/material-design-iconic-font.min.css	C:/Users/johnperry.carpio.LAZADA/Documents/Downloaded%20Sites/Boostrap%20Beagle%20Responsive%20Admin/foxythemes.net/preview/products/beagle/assets/lib/material-design-icons/css/material-design-iconic-font.min.css	(from http://foxythemes.net/preview/products/beagle/)
13:37:05	692/692	---MCZ	200	added ('OK')	text/css	date:Tue,%2020%20Feb%202018%2023:17:30%20GMT	http://foxythemes.net/preview/products/beagle/assets/lib/jquery.vectormap/jquery-jvectormap-1.2.2.css	C:/Users/johnperry.carpio.LAZADA/Documents/Downloaded%20Sites/Boostrap%20Beagle%20Responsive%20Admin/foxythemes.net/preview/products/beagle/assets/lib/jquery.vectormap/jquery-jvectormap-1.2.2.css	(from http://foxythemes.net/preview/products/beagle/)
13:37:06	613/613	---MCZ	200	added ('OK')	text/css	date:Tue,%2020%20Feb%202018%2023:17:45%20GMT	http://foxythemes.net/preview/products/beagle/assets/lib/jqvmap/jqvmap.min.css	C:/Users/johnperry.carpio.LAZADA/Documents/Downloaded%20Sites/Boostrap%20Beagle%20Responsive%20Admin/foxythemes.net/preview/products/beagle/assets/lib/jqvmap/jqvmap.min.css	(from http://foxythemes.net/preview/products/beagle/)
13:37:06	10783/10783	---MCZ	200	added ('OK')	text/css	date:Tue,%2020%20Feb%202018%2023:19:49%20GMT	http://foxythemes.net/preview/products/beagle/assets/lib/datetimepicker/css/bootstrap-datetimepicker.min.css	C:/Users/johnperry.carpio.LAZADA/Documents/Downloaded%20Sites/Boostrap%20Beagle%20Responsive%20Admin/foxythemes.net/preview/products/beagle/assets/lib/datetimepicker/css/bootstrap-datetimepicker.min.css	(from http://foxythemes.net/preview/products/beagle/)
13:37:10	406801/406801	---MCZ	200	added ('OK')	text/css	date:Tue,%2020%20Feb%202018%2023:16:50%20GMT	http://foxythemes.net/preview/products/beagle/assets/css/app.css	C:/Users/johnperry.carpio.LAZADA/Documents/Downloaded%20Sites/Boostrap%20Beagle%20Responsive%20Admin/foxythemes.net/preview/products/beagle/assets/css/app.css	(from http://foxythemes.net/preview/products/beagle/)
13:37:10	51683/51683	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Feb%202018%2023:16:19%20GMT	http://foxythemes.net/preview/products/beagle/index.html	C:/Users/johnperry.carpio.LAZADA/Documents/Downloaded%20Sites/Boostrap%20Beagle%20Responsive%20Admin/foxythemes.net/preview/products/beagle/index-2.html	(from http://foxythemes.net/preview/products/beagle/)
